Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Anesthesia - Moderate (Conscious) Sedation,$0,"$10,019",19,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Path. and Lab. - Definitive Drug Testing,$0,"$2,964",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
OSF Saint James - John W Albrecht Medical Center,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$6,425",25,,OSF HealthCare,,1217
Lincoln Memorial Hospital (FKA Abraham Lincoln Memorial Hospital),Surgery - Digestive System,$0,"$3,590",,,Memorial Health (FKA Memorial Health System),,1218
Lincoln Memorial Hospital (FKA Abraham Lincoln Memorial Hospital),Medicine - Noninvasive Vascular Diagnostic Studies,$0,"$1,319",,,Memorial Health (FKA Memorial Health System),,1218
Lincoln Memorial Hospital (FKA Abraham Lincoln Memorial Hospital),Path. and Lab. - Surgical Pathology,$0,"$2,455",,,Memorial Health (FKA Memorial Health System),,1218
Lincoln Memorial Hospital (FKA Abraham Lincoln Memorial Hospital),Radiology - Diagnostic Ultrasound,$0,"$1,859",,,Memorial Health (FKA Memorial Health System),,1218
McDonough District Hospital,Drugs Not Administered Orally,$0,$105,,,,,1219
McDonough District Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$0,$147,,,,,1219
McDonough District Hospital,Temporary Codes,$0,$242,,,,,1219
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Medicine - Immunization Administration for Vaccines/Toxoids,$0,$461,,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Orthotic/Prosthetic Procedures,$0,"$20,341",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
McDonough District Hospital,Medicine - Pulmonary,$0,$205,,,,,1219
McDonough District Hospital,Path. and Lab. - Hematology and Coagulation,$0,$414,,,,,1219
McDonough District Hospital,Path. and Lab. - Chemistry,$0,$217,,,,,1219
McDonough District Hospital,"Medicine - Vaccines, Toxoids",$0,$70,,,,,1219
McDonough District Hospital,Medicine - Immunization Administration for Vaccines/Toxoids,$0,$42,,,,,1219
McDonough District Hospital,Path. and Lab. - Urinalysis,$0,$50,,,,,1219
McDonough District Hospital,Medicine - Cardiovascular,$0,$846,,,,,1219
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Vision/Hearing Services,$0,"$1,302",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
OSF Saint James - John W Albrecht Medical Center,Path. and Lab. - Surgical Pathology,$0,"$1,353",,,OSF HealthCare,,1217
OSF Saint James - John W Albrecht Medical Center,Surgery - Musculoskeletal System,$0,$100,,,OSF HealthCare,,1217
OSF Saint James - John W Albrecht Medical Center,Temporary Hospital Outpatient Prospective Payment System,$0,$282,,,OSF HealthCare,,1217
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),Path. and Lab. - Definitive Drug Testing,$0,$715,,,OSF HealthCare,,1216
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),Path. and Lab. - Surgical Pathology,$0,"$20,824",15,,OSF HealthCare,,1216
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),Radiology - Diagnostic Ultrasound,$0,"$1,394",,,OSF HealthCare,,1216
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),Medicine - Immunization Administration for Vaccines/Toxoids,$0,$113,,,OSF HealthCare,,1216
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),Medicine - Dialysis,$0,$832,,,OSF HealthCare,,1216
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$4,036",20,,OSF HealthCare,,1216
OSF Saint Elizabeth Medical Center (FKA Ottawa Regional Hosp & Hc Center),"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$28,233",269,78,OSF HealthCare,,1213
OSF Saint Elizabeth Medical Center (FKA Ottawa Regional Hosp & Hc Center),Medicine - Immunization Administration for Vaccines/Toxoids,$0,$608,,,OSF HealthCare,,1213
OSF Saint Elizabeth Medical Center (FKA Ottawa Regional Hosp & Hc Center),Orthotic/Prosthetic Procedures,$0,"$3,857",,,OSF HealthCare,,1213
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),Path. and Lab. - Immunology,$0,$486,,,OSF HealthCare,,1216
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),Eval. and Mgmt. - Preventative Medicine Services,$0,$96,,,OSF HealthCare,,1216
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),Medicine - Pulmonary,$0,"$1,318",,,OSF HealthCare,,1216
OSF Sacred Heart Medical Center (FKA Presence United Samaritans Medical Center),Path. and Lab. - Hematology and Coagulation,$0,$187,,,OSF HealthCare,,1269
OSF Sacred Heart Medical Center (FKA Presence United Samaritans Medical Center),Surgery - Cardiovascular System,$0,$48,,,OSF HealthCare,,1269
OSF Sacred Heart Medical Center (FKA Presence United Samaritans Medical Center),"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,$177,,,OSF HealthCare,,1269
Carle Hoopeston Regional Health Center,Temporary Procedures & Professional Services,$0,$0,,,Carle Health System,,1267
OSF Holy Family Medical Center,Surgery - Eye and Ocular Adnexa,$0,"$16,574",,,OSF HealthCare,,1272
OSF Holy Family Medical Center,Medicine - Cardiovascular,$0,"$2,650",,,OSF HealthCare,,1272
OSF Holy Family Medical Center,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$2,675",19,,OSF HealthCare,,1272
OSF Holy Family Medical Center,Vision/Hearing Services,$0,"$3,810",,,OSF HealthCare,,1272
OSF Holy Family Medical Center,Radiology - Diagnostic Imaging,$0,"$51,709",15,,OSF HealthCare,,1272
OSF Holy Family Medical Center,Eval. and Mgmt. - Emergency Department Services,$0,"$6,799",,,OSF HealthCare,,1272
OSF Holy Family Medical Center,Temporary Codes,$0,"$2,520",,,OSF HealthCare,,1272
OSF Holy Family Medical Center,Drugs Not Administered Orally,$0,"$1,181",11,,OSF HealthCare,,1272
