Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Drugs Not Administered Orally,"$1,376,175","$14,062,843","3,719",511,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Advocate Illinois Masonic Medical Center,Chemotherapy Drugs,"$1,269,157","$6,880,791",306,26,Advocate Health Care,Advocate Health,1125
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Chemotherapy Drugs,"$1,251,432","$11,403,754",550,56,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Advocate Christ Medical Center,Chemotherapy Drugs,"$1,231,815","$6,699,476",577,39,Advocate Health Care,Advocate Health,1127
Edward Hospital (FKA Edward Heart Hospital),Chemotherapy Drugs,"$1,029,196","$6,034,994",249,19,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Riverside Medical Center (AKA Riverside Healthcare),Chemotherapy Drugs,"$1,023,916","$5,132,963",342,17,,,1201
Advocate Christ Medical Center,Drugs Not Administered Orally,"$1,019,485","$7,215,246","2,777",385,Advocate Health Care,Advocate Health,1127
Loyola University Medical Center,Chemotherapy Drugs,"$957,439","$2,814,461",269,25,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Swedish Hospital (FKA Swedish Covenant Hospital),Chemotherapy Drugs,"$949,411","$6,735,855",474,34,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1145
Northwestern Medicine Central DuPage Hospital,Chemotherapy Drugs,"$879,535","$9,645,543",555,25,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Chemotherapy Drugs,"$843,523","$8,979,856",281,21,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
Elmhurst Hospital,Surgery - Musculoskeletal System,"$809,947","$1,649,060",168,110,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Elmhurst Hospital,Chemotherapy Drugs,"$698,525","$4,900,449",119,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Northwestern Memorial Hospital,Eval. and Mgmt. - Emergency Department Services,"$694,518","$3,819,695","1,200",558,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
University of Illinois Hospital,Drugs Not Administered Orally,"$683,673","$2,505,023","3,269",346,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),Medicine - Physical Medicine and Rehabilitation,"$665,283","$7,655,896","15,099",602,,,5910
University of Illinois Hospital,Chemotherapy Drugs,"$648,815","$1,144,357",127,26,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Swedish Hospital (FKA Swedish Covenant Hospital),Drugs Not Administered Orally,"$562,329","$3,369,708","1,978",267,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1145
Edward Hospital (FKA Edward Heart Hospital),Eval. and Mgmt. - Emergency Department Services,"$555,731","$3,377,751","1,115",675,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Northwestern Memorial Hospital,Surgery - Digestive System,"$532,664","$3,975,833",555,328,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Northwestern Memorial Hospital,Surgery - Musculoskeletal System,"$529,430","$2,829,766",144,96,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),Drugs Not Administered Orally,"$528,230","$5,483,114",747,133,Franciscan Alliance Inc (AKA Franciscan Health),,1348
Advocate Good Samaritan Hospital,Medicine - Cardiovascular,"$515,503","$2,651,421",784,290,Advocate Health Care,Advocate Health,1173
Northwestern Memorial Hospital,Radiology - Diagnostic Imaging,"$515,108","$15,493,962","4,166","1,552",Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Froedtert Hospital,Temporary Codes,"$515,045","$2,398,288",18,,Froedtert & the Medical College of Wisconsin,Froedtert ThedaCare Health Inc,4529
Northwestern Medicine Central DuPage Hospital,Drugs Not Administered Orally,"$492,951","$7,317,716","3,816",400,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Evanston Hospital (AKA NorthShore Evanston Hospital),Surgery - Musculoskeletal System,"$486,637","$1,102,854",449,204,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Edward Hospital (FKA Edward Heart Hospital),Medicine - Cardiovascular,"$469,215","$2,683,182","1,242",550,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Evanston Hospital (AKA NorthShore Evanston Hospital),Temporary Procedures & Professional Services,"$455,907","$1,094,987","6,495","1,642",Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),Surgery - Musculoskeletal System,"$445,619","$932,174",105,59,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1162
Northwestern Memorial Hospital,Medicine - Cardiovascular,"$437,348","$3,636,019","1,644",647,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
John H Stroger Jr Hospital of Cook County,Chemotherapy Drugs,"$433,877","$990,267",218,17,Cook County Health & Hospitals System,,1140
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),Chemotherapy Drugs,"$432,803","$2,590,866",121,,Prime Healthcare Services,Prime Healthcare Services,1120
Loyola University Medical Center,Temporary Procedures & Professional Services,"$423,322","$1,225,756","6,505","1,785",Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Mishawaka Medical Center (FKA St Joseph Regional Medical Center),Chemotherapy Drugs,"$417,688","$1,330,568",48,,St Joseph Health System (Mishawaka IN),Trinity Health (FKA CHE Trinity Health),1382
Northwestern Memorial Hospital,Surgery - Cardiovascular System,"$409,681","$2,102,262","7,108","2,296",Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Advocate Good Samaritan Hospital,Surgery - Musculoskeletal System,"$407,773","$750,525",71,54,Advocate Health Care,Advocate Health,1173
Elmhurst Hospital,Drugs Not Administered Orally,"$404,880","$3,821,025","2,405",427,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),Drugs Not Administered Orally,"$399,386","$1,534,398",961,101,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1276
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),Chemotherapy Drugs,"$395,216","$1,871,656",86,,Prime Healthcare Services,Prime Healthcare Services,1123
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Temporary Procedures & Professional Services,"$392,723","$2,775,798","4,596","1,388",UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Northwestern Memorial Hospital,Temporary Hospital Outpatient Prospective Payment System,"$391,877","$7,609,640","1,257",518,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
University of Illinois Hospital,Temporary Procedures & Professional Services,"$391,125","$1,790,688","4,118","1,131",University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Advocate Good Samaritan Hospital,Surgery - Cardiovascular System,"$373,479","$1,082,520",569,340,Advocate Health Care,Advocate Health,1173
Evanston Hospital (AKA NorthShore Evanston Hospital),Surgery - Nervous System,"$365,464","$914,637",288,132,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Mercy Medical Center (FKA Ascension Mercy),Eval. and Mgmt. - Emergency Department Services,"$361,166","$2,702,556",826,445,Prime Healthcare Services,Prime Healthcare Services,1195
University of Illinois Hospital,Eval. and Mgmt. - Emergency Department Services,"$340,412","$1,519,447",793,207,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Riverside Medical Center (AKA Riverside Healthcare),Drugs Not Administered Orally,"$333,203","$2,702,627","1,406",145,,,1201
Elmhurst Hospital,Eval. and Mgmt. - Emergency Department Services,"$327,227","$2,173,358",757,447,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Northwestern Medicine Central DuPage Hospital,Surgery - Cardiovascular System,"$318,812","$1,117,657","5,499","2,490",Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Ascension Alexian Brothers (FKA AMITA Health Alexian Brothers Medical Center Elk Grove Village),Medicine - Cardiovascular,"$317,334","$1,313,392",345,126,Ascension Health Illinois,Ascension Health,1134
Evanston Hospital (AKA NorthShore Evanston Hospital),Medicine - Cardiovascular,"$315,115","$1,957,035","1,645",649,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),Chemotherapy Drugs,"$309,708","$1,270,991",85,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1276
Aurora St Lukes Medical Center of Aurora Health Care Metro,Chemotherapy Drugs,"$308,924","$1,672,477",75,,Aurora Health Care,Advocate Health,4534
Northwestern Memorial Hospital,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental","$306,424","$2,540,885",806,618,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Edward Hospital (FKA Edward Heart Hospital),Surgery - Cardiovascular System,"$305,833","$1,187,197","3,416","1,298",Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Mishawaka Medical Center (FKA St Joseph Regional Medical Center),Drugs Not Administered Orally,"$303,317","$1,027,916",167,23,St Joseph Health System (Mishawaka IN),Trinity Health (FKA CHE Trinity Health),1382
Northwestern Memorial Hospital,Surgery - Nervous System,"$301,842","$1,399,412",272,112,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Edward Hospital (FKA Edward Heart Hospital),Radiology - Diagnostic Imaging,"$301,398","$8,370,363","3,334","1,343",Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Advocate Good Samaritan Hospital,Surgery - Digestive System,"$296,981","$1,105,989",280,149,Advocate Health Care,Advocate Health,1173
Advocate Good Samaritan Hospital,Temporary Hospital Outpatient Prospective Payment System,"$293,577","$3,658,143",740,209,Advocate Health Care,Advocate Health,1173
Edward Hospital (FKA Edward Heart Hospital),Drugs Not Administered Orally,"$289,687","$2,808,323","2,975",617,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Loyola University Medical Center,Medicine - Cardiovascular,"$288,462","$1,844,404","1,271",492,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Advocate Illinois Masonic Medical Center,Drugs Not Administered Orally,"$287,847","$2,609,857","2,042",310,Advocate Health Care,Advocate Health,1125
Northwestern Medicine Palos Hospital (AKA Palos Health),Eval. and Mgmt. - Emergency Department Services,"$287,384","$2,010,375",554,286,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1160
Loyola University Medical Center,Drugs Not Administered Orally,"$282,605","$1,187,574","3,168",564,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Evanston Hospital (AKA NorthShore Evanston Hospital),Radiology - Diagnostic Imaging,"$273,165","$5,624,889","3,331","1,128",Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Northwestern Memorial Hospital,Radiology - Nuclear Medicine,"$267,324","$1,896,906",268,222,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Edward Hospital (FKA Edward Heart Hospital),Surgery - Digestive System,"$258,283","$1,225,412",256,143,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Drugs Not Administered Orally,"$252,520","$2,909,102","2,531",367,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
Northwestern Medicine Central DuPage Hospital,Path. and Lab. - Chemistry,"$252,269","$3,523,762","18,566","3,053",Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Evanston Hospital (AKA NorthShore Evanston Hospital),Eval. and Mgmt. - Emergency Department Services,"$250,966","$1,552,197",621,384,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Edward Hospital (FKA Edward Heart Hospital),Surgery - Musculoskeletal System,"$246,735","$590,338",152,68,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Loyola University Medical Center,Eval. and Mgmt. - Emergency Department Services,"$241,009","$1,027,910",411,256,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Loyola University Medical Center,Temporary Hospital Outpatient Prospective Payment System,"$234,498","$1,430,902",584,188,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Elmhurst Hospital,Surgery - Cardiovascular System,"$228,903","$1,023,742","2,226",859,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Northwestern Memorial Hospital,Surgery - Urinary System,"$227,423","$1,557,426",200,81,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Surgery - Cardiovascular System,"$226,925","$1,304,202","2,723",904,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Evanston Hospital (AKA NorthShore Evanston Hospital),Surgery - Cardiovascular System,"$226,656","$740,720","2,365",932,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Advocate Illinois Masonic Medical Center,Eval. and Mgmt. - Emergency Department Services,"$226,260","$962,225",359,200,Advocate Health Care,Advocate Health,1125
Loyola University Medical Center,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental","$226,025","$722,948",288,203,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Advocate Good Samaritan Hospital,Eval. and Mgmt. - Emergency Department Services,"$223,114","$1,025,420",384,256,Advocate Health Care,Advocate Health,1173
Mercy Medical Center (FKA Ascension Mercy),Temporary Hospital Outpatient Prospective Payment System,"$222,400","$2,235,074",369,113,Prime Healthcare Services,Prime Healthcare Services,1195
Northwestern Medicine Central DuPage Hospital,Surgery - Digestive System,"$221,020","$1,299,863",261,127,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Community Hospital,Surgery - Cardiovascular System,"$219,760","$633,177","1,575",505,Powers Health (FKA Community Healthcare System),,1340
University of Illinois Hospital,Surgery - Eye and Ocular Adnexa,"$215,503","$872,382",215,111,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Silver Cross Hospital,Eval. and Mgmt. - Emergency Department Services,"$213,933","$710,688",384,269,,,1277
Community Hospital,Eval. and Mgmt. - Emergency Department Services,"$211,113","$748,111",287,177,Powers Health (FKA Community Healthcare System),,1340
Loyola University Medical Center,Surgery - Cardiovascular System,"$210,510","$952,510","2,172",836,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Surgery - Musculoskeletal System,"$205,130","$977,550",123,68,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
University of Illinois Hospital,Surgery - Cardiovascular System,"$204,785","$903,652","2,240",488,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Mercy Medical Center (FKA Ascension Mercy),Surgery - Musculoskeletal System,"$203,987","$1,029,916",42,31,Prime Healthcare Services,Prime Healthcare Services,1195
Northwestern Medicine Central DuPage Hospital,"Medicine - Injections, Infusions, and Complex Agent Administration","$200,546","$1,460,477","1,846",165,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Loyola University Medical Center,Surgery - Musculoskeletal System,"$200,156","$446,962",251,145,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Northwestern Medicine Central DuPage Hospital,Surgery - Musculoskeletal System,"$199,253","$460,053",42,28,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Swedish Hospital (FKA Swedish Covenant Hospital),Medicine - Cardiovascular,"$194,435","$892,115",840,184,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1145
Elmhurst Hospital,Medicine - Cardiovascular,"$190,650","$1,792,132","1,031",371,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Northwestern Memorial Hospital,Path. and Lab. - Chemistry,"$188,849","$3,756,059","20,172","2,316",Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Eval. and Mgmt. - Emergency Department Services,"$187,933","$1,482,140",400,280,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
Northwestern Memorial Hospital,Surgery - Eye and Ocular Adnexa,"$187,683","$1,364,841",106,70,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Northwestern Memorial Hospital,Temporary Procedures & Professional Services,"$184,968","$2,347,782","2,292","1,266",Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),Chemotherapy Drugs,"$183,521","$1,663,941",137,12,Franciscan Alliance Inc (AKA Franciscan Health),,1348
Elmhurst Hospital,Radiology - Diagnostic Imaging,"$182,263","$4,547,117","1,971",900,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Advocate Lutheran General Hospital,Chemotherapy Drugs,"$181,414","$1,052,375",48,,Advocate Health Care,Advocate Health,1128
Northwestern Memorial Hospital,Radiology - Radiation Oncology,"$181,158","$2,169,243",522,27,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Surgery - Digestive System,"$180,707","$1,171,878",213,97,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
Swedish Hospital (FKA Swedish Covenant Hospital),Eval. and Mgmt. - Emergency Department Services,"$179,546","$883,124",320,178,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1145
Northwestern Medicine Palos Hospital (AKA Palos Health),Medicine - Cardiovascular,"$178,566","$923,239",711,266,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1160
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Eval. and Mgmt. - Emergency Department Services,"$177,736","$1,275,160",341,186,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Community Hospital,Medicine - Cardiovascular,"$177,237","$1,761,637",903,286,Powers Health (FKA Community Healthcare System),,1340
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Radiology - Diagnostic Imaging,"$175,742","$5,126,981","1,640",639,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Insight Hospital & Medical Center Chicago (FKA Mercy Hospital & Medical Center),Surgery - Cardiovascular System,"$172,476","$929,856",363,181,Insight,,1144
Northwestern Medicine Central DuPage Hospital,Radiology - Radiation Oncology,"$171,786","$2,272,655",406,25,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),Chemotherapy Drugs,"$170,755","$1,662,064",209,,Sinai Chicago (FKA Sinai Health System),,1152
Edward Hospital (FKA Edward Heart Hospital),"Medicine - Injections, Infusions, and Complex Agent Administration","$169,398","$1,941,600","1,943",442,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Evanston Hospital (AKA NorthShore Evanston Hospital),Surgery - Digestive System,"$169,354","$723,165",194,120,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),Eval. and Mgmt. - Emergency Department Services,"$167,931","$1,143,074",415,229,Prime Healthcare Services,Prime Healthcare Services,1123
Elmhurst Hospital,Temporary Hospital Outpatient Prospective Payment System,"$167,554","$3,861,651",532,194,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
John H Stroger Jr Hospital of Cook County,Eval. and Mgmt. - Emergency Department Services,"$167,445","$375,938",319,169,Cook County Health & Hospitals System,,1140
Elmhurst Hospital,Surgery - Digestive System,"$166,692","$759,124",161,89,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Northwestern Memorial Hospital,Drugs Not Administered Orally,"$165,901","$1,402,518","6,556","1,088",Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Morris Hospital & Healthcare Centers,Drugs Not Administered Orally,"$165,179","$1,340,859",631,114,,,1183
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),Eval. and Mgmt. - Emergency Department Services,"$164,870","$712,651",352,186,OSF HealthCare,,1122
Advocate Good Samaritan Hospital,Radiology - Diagnostic Imaging,"$164,308","$2,684,424","1,343",666,Advocate Health Care,Advocate Health,1173
Advocate Christ Medical Center,Eval. and Mgmt. - Emergency Department Services,"$163,297","$815,075",390,193,Advocate Health Care,Advocate Health,1127
Northwestern Medicine Central DuPage Hospital,Radiology - Diagnostic Imaging,"$160,913","$5,238,985","1,200",548,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Northwestern Medicine Central DuPage Hospital,Eval. and Mgmt. - Emergency Department Services,"$160,884","$1,125,423",295,213,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
West Suburban Medical Center,Eval. and Mgmt. - Emergency Department Services,"$160,387","$884,459",343,217,Resilience Healthcare,,1157
Saint Francis Hospital (FKA Ascension Saint Francis),Chemotherapy Drugs,"$160,227","$833,775",35,,Prime Healthcare Services,Prime Healthcare Services,1164
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"Medicine - Injections, Infusions, and Complex Agent Administration","$159,312","$945,742","1,372",209,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
Loyola University Medical Center,Surgery - Digestive System,"$156,425","$604,449",146,103,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Loyola University Medical Center,Radiology - Diagnostic Imaging,"$156,276","$3,345,289","1,904",755,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Loyola University Medical Center,Surgery - Urinary System,"$155,150","$396,346",239,110,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),Drugs Not Administered Orally,"$154,463","$912,940",182,32,Corewell Health South (FKA Spectrum Health Lakeland),Corewell Health (FKA BHSH System),1995
Silver Cross Hospital,Surgery - Digestive System,"$154,344","$324,799",149,78,,,1277
Advocate Lutheran General Hospital,Surgery - Musculoskeletal System,"$152,900","$186,945",47,30,Advocate Health Care,Advocate Health,1128
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Radiology - Radiation Oncology,"$152,238","$2,551,730",389,20,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Northwest Health - Porter (AKA Porter Regional Hospital),Chemotherapy Drugs,"$152,068","$1,957,907",104,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS),1376
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"Medicine - Injections, Infusions, and Complex Agent Administration","$151,928","$1,810,083","1,702",296,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Carle Foundation Hospital,Chemotherapy Drugs,"$150,318","$830,765",54,,Carle Health System,,1111
Northwest Community Hospital (AKA Northwest Community Healthcare),Radiology - Radiation Oncology,"$149,301","$1,246,570",374,12,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1133
West Suburban Medical Center,Surgery - Eye and Ocular Adnexa,"$147,778","$856,993",85,60,Resilience Healthcare,,1157
John H Stroger Jr Hospital of Cook County,Temporary Procedures & Professional Services,"$147,457","$848,352","1,664",416,Cook County Health & Hospitals System,,1140
Rochelle Community Hospital,Drugs Not Administered Orally,"$146,414","$998,585",78,,,,1240
Advocate Trinity Hospital,Eval. and Mgmt. - Emergency Department Services,"$145,277","$699,395",280,152,Advocate Health Care,Advocate Health,1156
Gottlieb Memorial Hospital,Eval. and Mgmt. - Emergency Department Services,"$143,673","$690,363",302,183,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1153
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),Medicine - Cardiovascular,"$142,958","$694,740",298,186,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1178
Riverside Medical Center (AKA Riverside Healthcare),"Medicine - Injections, Infusions, and Complex Agent Administration","$142,567","$1,399,593","1,440",118,,,1201
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Surgery - Digestive System,"$142,556","$927,645",144,86,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
UChicago Medicine Ingalls Memorial Hospital,Eval. and Mgmt. - Emergency Department Services,"$139,072","$935,509",376,233,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1118
Silver Cross Hospital,Surgery - Musculoskeletal System,"$139,063","$162,015",35,30,,,1277
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),Orthotic/Prosthetic Procedures,"$138,567","$633,332",233,58,,,5910
