Definitive ID,Hospital name,City,State,Medicare pmts,Medicare charges,# of referrals,% of referrals,# of unique beneficiaries,IDN name,In-network referrals
968848,Banner Ocotillo Medical Center,Chandler,AZ,"$6,158","$16,272",,,,Banner Health,No
274243,Aurora Medical Center - Summit,Summit,WI,"$6,055","$32,108",,,,Aurora Health Care,No
1224,Carle BroMenn Medical Center (FKA Advocate BroMenn Medical Center),Normal,IL,"$5,850","$24,844",,,,Carle Health System,No
1396,Union Hospital Regional (FKA Terre Haute Regional Hospital),Terre Haute,IN,"$5,366","$41,361",,,,Union Health,No
2191,Mayo Clinic Hospital - Saint Marys Campus,Rochester,MN,$0,"$14,396",,,,Mayo Clinic,No
1121,Jackson Park Hospital & Medical Center,Chicago,IL,$0,"$13,157",,,,,No
2444,SSM Health Saint Louis University Hospital,Saint Louis,MO,$0,"$77,370",,,,SSM Health St Louis,No
1119,Thorek Memorial Hospital Andersonville (FKA Methodist Hospital of Chicago),Chicago,IL,$0,"$9,836",,,,Thorek Memorial Hospital Health System,No
2066,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),Royal Oak,MI,$0,"$15,063",,,,Corewell Health East (FKA Beaumont Health System),No
2591,MountainView Hospital,Las Vegas,NV,$0,"$273,980",,,,HCA Far West Division - Sunrise Health,No
1497,MercyOne Genesis Davenport Medical Center (FKA Genesis Medical Center - East Rusholme Street),Davenport,IA,$0,"$14,178",,,,MercyOne Genesis (FKA Genesis Health System),No
1468,UnityPoint Health St Lukes Hospital,Cedar Rapids,IA,$0,"$48,414",,,,UnityPoint Health (FKA Iowa Health System),No
