Hospital Name,Base DRG Group,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH  (216, 217, 218)","$191,392","$1,123,467",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Northwestern Memorial Hospital,KIDNEY TRANSPLANT  (652),"$112,043","$1,123,290",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,"OTHER CIRCULATORY SYSTEM DIAGNOSES  (314, 315, 316)","$295,084","$1,122,194",19,14,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS  (391, 392)","$229,666","$1,120,839",23,22,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Edward Hospital (FKA Edward Heart Hospital),"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$188,803","$1,115,379",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Resurrection Medical Center (FKA Ascension Resurrection),"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$170,485","$1,114,871",,,Prime Healthcare Services,Prime Healthcare Services
Loyola University Medical Center,"CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH  (216, 217, 218)","$240,562","$1,114,031",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Advocate Christ Medical Center,"CORONARY INTRAVASCULAR LITHOTRIPSY (323,324,325)","$244,631","$1,107,365",,,Advocate Health Care,Advocate Health
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"G.I. HEMORRHAGE  (377, 378, 379)","$142,207","$1,097,000",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Edward Hospital (FKA Edward Heart Hospital),"COMBINED ANTERIOR/POSTERIOR SPINAL FUSION  (453, 454, 455)","$184,969","$1,095,921",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Advocate Good Samaritan Hospital,"ENDOVASCULAR CARDIAC VALVE REPLACEMENT (266, 267)","$205,315","$1,091,251",,,Advocate Health Care,Advocate Health
Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),"MAJOR SMALL & LARGE BOWEL PROCEDURES  (329, 330, 331)","$172,461","$1,088,662",,,,
Northwestern Memorial Hospital,"PANCREAS, LIVER & SHUNT PROCEDURES  (405, 406, 407)","$141,479","$1,088,497",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$236,990","$1,076,779",,,OSF HealthCare,
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),"PERITONEAL ADHESIOLYSIS  (335, 336, 337)","$200,704","$1,076,667",,,OSF HealthCare,
Loyola University Medical Center,"HEART FAILURE & SHOCK  (291, 292, 293)","$306,909","$1,076,491",17,12,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Elmhurst Hospital,"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY  (469, 470)","$144,030","$1,076,012",12,12,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
University of Illinois Hospital,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION  (064, 065, 066)","$313,007","$1,069,974",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Mercy Medical Center (FKA Ascension Mercy),"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION  (064, 065, 066)","$217,296","$1,065,110",11,11,Prime Healthcare Services,Prime Healthcare Services
Kindred Hospital Chicago - Northlake,PULMONARY EDEMA & RESPIRATORY FAILURE  (189),"$194,923","$1,055,652",,,Kindred Hospitals,ScionHealth
Northwestern Memorial Hospital,OTHER HEART ASSIST SYSTEM IMPLANT  (215),"$181,772","$1,049,791",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Trinity Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$302,758","$1,049,095",16,15,Advocate Health Care,Advocate Health
Edward Hospital (FKA Edward Heart Hospital),"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$152,417","$1,045,996",17,16,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mercy Medical Center (FKA Ascension Mercy),"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$119,896","$1,042,401",,,Prime Healthcare Services,Prime Healthcare Services
Northwestern Memorial Hospital,"PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC (273, 274)","$194,175","$1,035,978",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Edward Hospital (FKA Edward Heart Hospital),"ENDOVASCULAR CARDIAC VALVE REPLACEMENT (266, 267)","$144,621","$1,031,234",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE  (280, 281, 282)","$136,972","$1,029,312",,,Prime Healthcare Services,Prime Healthcare Services
RUSH Specialty Hospital,"SPINAL DISORDERS & INJURIES  (052, 053)","$317,678","$1,027,398",,,Select Medical Corporation,Select Medical Corporation
Northwestern Memorial Hospital,"REVISION OF HIP OR KNEE REPLACEMENT  (466, 467, 468)","$161,023","$1,027,329",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
