Hospital Name,Base DRG Group,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent
Loyola University Medical Center,"OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC  (515, 516, 517)","$53,665","$114,959",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Roseland Community Hospital,"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$19,841","$114,946",,,,
Advocate Christ Medical Center,"LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA  (956)","$32,538","$114,926",,,Advocate Health Care,Advocate Health
Advocate Good Samaritan Hospital,"DIGESTIVE MALIGNANCY  (374, 375, 376)","$8,727","$114,918",,,Advocate Health Care,Advocate Health
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),"PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG  (542, 543, 544)","$23,413","$114,902",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Thorek Memorial Hospital,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION  (064, 065, 066)","$14,292","$114,787",,,Thorek Memorial Hospital Health System,
Northwestern Medicine Palos Hospital (AKA Palos Health),"CIRRHOSIS & ALCOHOLIC HEPATITIS  (432, 433, 434)","$22,598","$114,775",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY  (483, 484)","$18,135","$114,730",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),"DISORDERS OF PANCREAS EXCEPT MALIGNANCY  (438, 439, 440)","$9,332","$114,638",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Sherman Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$4,770","$114,634",,,Advocate Health Care,Advocate Health
Resurrection Medical Center (FKA Ascension Resurrection),"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$10,381","$114,556",,,Prime Healthcare Services,Prime Healthcare Services
Advocate Good Samaritan Hospital,"CELLULITIS  (602, 603)","$16,192","$114,513",,,Advocate Health Care,Advocate Health
Elmhurst Hospital,"CIRRHOSIS & ALCOHOLIC HEPATITIS  (432, 433, 434)","$13,854","$114,485",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Advocate Illinois Masonic Medical Center,"RENAL FAILURE  (682, 683, 684)","$13,509","$114,447",,,Advocate Health Care,Advocate Health
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"G.I. HEMORRHAGE  (377, 378, 379)","$40,611","$114,439",,,Prime Healthcare Services,Prime Healthcare Services
Advocate Christ Medical Center,SYNCOPE & COLLAPSE  (312),"$54,262","$114,431",,,Advocate Health Care,Advocate Health
Advocate Christ Medical Center,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$47,990","$114,268",,,Advocate Health Care,Advocate Health
Advocate Trinity Hospital,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$23,090","$114,205",,,Advocate Health Care,Advocate Health
Loyola University Medical Center,"SPINAL PROCEDURES  (028, 029, 030)","$41,055","$114,192",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Franciscan Health Crown Point (FKA Franciscan St Anthony Health - Crown Point),"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE  (280, 281, 282)","$14,803","$114,069",,,Franciscan Alliance Inc (AKA Franciscan Health),
Saint Joseph Hospital - Elgin (FKA Ascension Saint Joseph Elgin),"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$11,040","$114,053",,,Prime Healthcare Services,Prime Healthcare Services
Lakewood Ranch Medical Center,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION  (064, 065, 066)","$12,268","$114,047",,,Manatee Healthcare System,Universal Health Services
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),"PULMONARY EMBOLISM  (175, 176)","$17,189","$113,936",,,Prime Healthcare Services,Prime Healthcare Services
Franciscan Health Crown Point (FKA Franciscan St Anthony Health - Crown Point),"G.I. HEMORRHAGE  (377, 378, 379)","$22,038","$113,930",,,Franciscan Alliance Inc (AKA Franciscan Health),
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),"REHABILITATION  (945, 946)","$33,512","$113,916",,,,
Northwestern Memorial Hospital,"ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS (278,279)","$28,975","$113,863",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Medicine Central DuPage Hospital,"OTHER DISORDERS OF NERVOUS SYSTEM  (091, 092, 093)","$12,453","$113,763",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Holy Cross Hospital,PULMONARY EDEMA & RESPIRATORY FAILURE  (189),"$22,056","$113,731",,,Sinai Chicago (FKA Sinai Health System),
Evanston Hospital (AKA NorthShore Evanston Hospital),SYNCOPE & COLLAPSE  (312),"$30,146","$113,717",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$91,616","$113,639",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Silver Cross Hospital,"PERMANENT CARDIAC PACEMAKER IMPLANT  (242, 243, 244)","$36,428","$113,520",,,,
Houston Methodist Hospital (FKA the Methodist Hospital),OTHER CIRCULATORY SYSTEM O.R. PROCEDURES  (264),"$27,968","$113,518",,,Houston Methodist (FKA Methodist Hospital System),
MacNeal Hospital,"CIRRHOSIS & ALCOHOLIC HEPATITIS  (432, 433, 434)","$21,321","$113,342",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Ascension St Alexius (FKA AMITA Health St Alexius Medical Center Hoffman Estates),"HEART FAILURE & SHOCK  (291, 292, 293)","$18,962","$113,248",,,Ascension Health Illinois,Ascension Health
Franciscan Health Munster (FKA Franciscan Healthcare - Munster Franciscan Physicians Hospital LLC),"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$20,705","$113,211",,,Franciscan Alliance Inc (AKA Franciscan Health),
Saint Joseph Hospital - Elgin (FKA Ascension Saint Joseph Elgin),"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$11,683","$113,158",,,Prime Healthcare Services,Prime Healthcare Services
Ascension St Alexius (FKA AMITA Health St Alexius Medical Center Hoffman Estates),"MEDICAL BACK PROBLEMS  (551, 552)","$14,185","$112,965",,,Ascension Health Illinois,Ascension Health
Advocate Illinois Masonic Medical Center,SINGLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL (402),"$42,334","$112,906",,,Advocate Health Care,Advocate Health
Saint Francis Medical Center (AKA Saint Francis Healthcare System),"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE  (280, 281, 282)","$7,511","$112,840",,,Saint Francis Healthcare System,
University of Illinois Hospital,"AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE  (239, 240, 241)","$64,270","$112,805",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$35,576","$112,758",,,,
UCSF Helen Diller Medical Center,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$32,910","$112,535",,,University of California San Francisco Health System (AKA UCSF Health),University of California Health (AKA UC Health-CA)
Advocate Christ Medical Center,"OTHER KIDNEY & URINARY TRACT PROCEDURES  (673, 674, 675)","$34,360","$112,473",,,Advocate Health Care,Advocate Health
Jackson Park Hospital & Medical Center,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$7,898","$112,422",,,,
Northwestern Medicine Central DuPage Hospital,"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$16,385","$112,226",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
University of Illinois Hospital,"OTHER KIDNEY & URINARY TRACT PROCEDURES  (673, 674, 675)","$27,023","$112,187",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
University of Illinois Hospital,SEPTICEMIA OR SEVERE SEPSIS W MV 96 OR MORE HOURS  (870),"$67,720","$112,031",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS  (391, 392)","$22,320","$112,023",,,,
John H Stroger Jr Hospital of Cook County,"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY  (896, 897)","$241,236","$112,022",,,Cook County Health & Hospitals System,
Morris Hospital & Healthcare Centers,"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$13,430","$111,995",,,,
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$31,718","$111,992",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Broward Health Medical Center (FKA Broward General Medical Center),PULMONARY EDEMA & RESPIRATORY FAILURE  (189),"$12,769","$111,988",,,Broward Health,Broward Health
Ascension Columbia St Marys Hospital Milwaukee,"BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (477, 478, 479)","$18,095","$111,910",,,Ascension Wisconsin (FKA Ascension Wheaton Franciscan Healthcare),Ascension Health
Elmhurst Hospital,"G.I. OBSTRUCTION  (388, 389, 390)","$26,225","$111,897",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Swedish Hospital (FKA Swedish Covenant Hospital),"AFTERCARE  (949, 950)","$94,036","$111,889",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Weiss Memorial Hospital (Closed),"SEIZURES  (100, 101)","$24,107","$111,859",,,Resilience Healthcare,
City of Hope Chicago (FKA Cancer Treatment Centers of America - Chicago),"PANCREAS, LIVER & SHUNT PROCEDURES  (405, 406, 407)","$19,283","$111,852",,,City of Hope,
West Suburban Medical Center,"UNCOMPLICATED PEPTIC ULCER  (383, 384)","$16,355","$111,607",,,Resilience Healthcare,
Advocate Illinois Masonic Medical Center,"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$17,323","$111,509",,,Advocate Health Care,Advocate Health
SSM Health St Marys Hospital - Janesville,"REVISION OF HIP OR KNEE REPLACEMENT  (466, 467, 468)","$36,250","$111,104",,,SSM Health in Wisconsin,SSM Health
Ascension Alexian Brothers (FKA AMITA Health Alexian Brothers Medical Center Elk Grove Village),"SPINAL FUSION EXCEPT CERVICAL  (459, 460)","$25,596","$111,077",,,Ascension Health Illinois,Ascension Health
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),"OTHER DIGESTIVE SYSTEM O.R. PROCEDURES  (356, 357, 358)","$25,232","$111,061",,,OSF HealthCare,
RML Specialty Hospital Hinsdale,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM  (757, 758, 759)","$45,701","$111,052",,,Advocate Health Care,Advocate Health
Edward Hospital (FKA Edward Heart Hospital),"LYMPHOMA & NON-ACUTE LEUKEMIA  (840, 841, 842)","$25,002","$111,036",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Loyola University Medical Center,"APPENDIX PROCEDURES (397,398,399)","$32,776","$111,009",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Northwestern Memorial Hospital,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST  (604, 605)","$12,038","$110,984",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Community Hospital,"MEDICAL BACK PROBLEMS  (551, 552)","$19,730","$110,873",,,Powers Health (FKA Community Healthcare System),
Northwestern Medicine Palos Hospital (AKA Palos Health),"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)","$14,920","$110,819",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$16,672","$110,597",,,Franciscan Alliance Inc (AKA Franciscan Health),
Community Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$27,868","$110,498",,,Powers Health (FKA Community Healthcare System),
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$21,386","$110,429",,,Prime Healthcare Services,Prime Healthcare Services
OSF Saint Anthony Medical Center,"MEDICAL BACK PROBLEMS  (551, 552)","$89,128","$110,402",,,OSF HealthCare,
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),"BONE DISEASES & ARTHROPATHIES  (553, 554)","$61,474","$110,383",,,Sinai Chicago (FKA Sinai Health System),
Northwestern Memorial Hospital,"NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS  (987, 988, 989)","$36,344","$110,279",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$27,093","$110,278",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),"LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E.  (417, 418, 419)","$17,078","$110,200",,,Ascension Health Illinois,Ascension Health
Loyola University Medical Center,"PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC (273, 274)","$32,508","$110,169",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
MacNeal Hospital,"NERVOUS SYSTEM NEOPLASMS  (054, 055)","$16,493","$109,965",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
John H Stroger Jr Hospital of Cook County,"BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (477, 478, 479)","$79,795","$109,913",,,Cook County Health & Hospitals System,
Holy Cross Hospital,"ENDOCRINE DISORDERS  (643, 644, 645)","$14,527","$109,874",,,Sinai Chicago (FKA Sinai Health System),
University of Illinois Hospital,"KIDNEY & URETER PROCEDURES FOR NEOPLASM  (656, 657, 658)","$39,084","$109,821",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"PERMANENT CARDIAC PACEMAKER IMPLANT  (242, 243, 244)","$21,114","$109,758",,,Prime Healthcare Services,Prime Healthcare Services
West Suburban Medical Center,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG  (739, 740, 741)","$10,372","$109,744",,,Resilience Healthcare,
RUSH Specialty Hospital,HIV W OR W/O OTHER RELATED CONDITION  (977),"$31,669","$109,661",,,Select Medical Corporation,Select Medical Corporation
Insight Hospital & Medical Center Chicago (FKA Mercy Hospital & Medical Center),"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$28,775","$109,615",,,Insight,
University of Illinois Hospital,"PERMANENT CARDIAC PACEMAKER IMPLANT  (242, 243, 244)","$23,597","$109,581",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Mercy Medical Center (FKA Ascension Mercy),"CELLULITIS  (602, 603)","$23,160","$109,566",,,Prime Healthcare Services,Prime Healthcare Services
Loyola University Medical Center,"PERIPHERAL VASCULAR DISORDERS  (299, 300, 301)","$43,934","$109,519",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
John H Stroger Jr Hospital of Cook County,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$160,754","$109,390",,,Cook County Health & Hospitals System,
MacNeal Hospital,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH  (286, 287)","$31,873","$109,291",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
University of Illinois Hospital,"MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL  (808, 809, 810)","$67,208","$109,262",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Silver Cross Hospital,"NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS  (097, 098, 099)","$24,202","$109,202",,,,
Mercy Medical Center (FKA Ascension Mercy),"CRANIAL & PERIPHERAL NERVE DISORDERS  (073, 074)","$21,627","$109,045",,,Prime Healthcare Services,Prime Healthcare Services
Saint Francis Hospital (FKA Ascension Saint Francis),"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY  (469, 470)","$18,694","$109,040",,,Prime Healthcare Services,Prime Healthcare Services
University Health Truman Medical Center (FKA Truman Medical Center Hospital Hill),"RED BLOOD CELL DISORDERS  (811, 812)","$86,358","$109,029",,,University Health (FKA Truman Medical Centers),
Advocate Good Samaritan Hospital,"OTHER VASCULAR PROCEDURES  (252, 253, 254)","$33,028","$108,962",,,Advocate Health Care,Advocate Health
Vista Medical Center East (AKA Vista Health System),"SIGNS & SYMPTOMS  (947, 948)","$16,314","$108,876",,,American Healthcare Systems,
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE (521, 522)","$25,309","$108,840",,,Prime Healthcare Services,Prime Healthcare Services
Penrose Hospital,"AFTERCARE  (949, 950)","$29,517","$108,760",,,CommonSpirit Mountain Region,CommonSpirit Health
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),"ENDOCRINE DISORDERS  (643, 644, 645)","$21,888","$108,738",,,Ascension Health Illinois,Ascension Health
MacNeal Hospital,"SIGNS & SYMPTOMS  (947, 948)","$34,539","$108,676",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
UChicago Medicine Ingalls Memorial Hospital,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE  (280, 281, 282)","$44,711","$108,673",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT  (061, 062, 063)","$17,324","$108,662",,,Prime Healthcare Services,Prime Healthcare Services
M Health Fairview Lakes Medical Center - Wyoming (AKA M Health Fairview Lakes Medical Center),"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$9,333","$108,573",,,M Health Fairview (FKA Fairview Health Services),M Health Fairview (FKA Fairview Health Services)
University of Illinois Hospital,"OTITIS MEDIA & URI  (152, 153)","$39,556","$108,572",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
MacNeal Hospital,"OTHER DISORDERS OF NERVOUS SYSTEM  (091, 092, 093)","$34,367","$108,539",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Community Hospital,"CERVICAL SPINAL FUSION  (471, 472, 473)","$15,699","$108,452",,,Powers Health (FKA Community Healthcare System),
Advocate Trinity Hospital,"MAJOR SMALL & LARGE BOWEL PROCEDURES  (329, 330, 331)","$35,423","$108,382",,,Advocate Health Care,Advocate Health
Advocate Good Samaritan Hospital,"ENDOCRINE DISORDERS  (643, 644, 645)","$18,410","$108,344",,,Advocate Health Care,Advocate Health
HCA Florida South Tampa Hospital (FKA Memorial Hospital of Tampa),"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)","$14,416","$108,332",,,HCA West Florida Division,HCA Healthcare (FKA Hospital Corporation of America)
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),"OTHER KIDNEY & URINARY TRACT PROCEDURES  (673, 674, 675)","$26,337","$108,312",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Mercy Health - St Elizabeth Youngstown Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$10,354","$108,275",,,Mercy Health (FKA Catholic Health Partners),Bon Secours Mercy Health
Mercy Medical Center (FKA Ascension Mercy),"SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE  (555, 556)","$12,529","$108,198",,,Prime Healthcare Services,Prime Healthcare Services
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS  (371, 372, 373)","$23,955","$108,175",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwest Community Hospital (AKA Northwest Community Healthcare),"PERIPHERAL VASCULAR DISORDERS  (299, 300, 301)","$16,345","$108,142",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
UW Health University Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$18,036","$108,069",,,University of Wisconsin Health (AKA UW Health),
CGH Medical Center,"CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS  (846, 847, 848)","$26,754","$107,990",,,,
OSF Saint Francis Medical Center,"SOFT TISSUE PROCEDURES  (500, 501, 502)","$27,739","$107,859",,,OSF HealthCare,
Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$23,290","$107,814",,,Franciscan Alliance Inc (AKA Franciscan Health),
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"KIDNEY & URINARY TRACT NEOPLASMS  (686, 687, 688)","$27,279","$107,724",,,Prime Healthcare Services,Prime Healthcare Services
Ascension St Alexius (FKA AMITA Health St Alexius Medical Center Hoffman Estates),"TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.  (004)","$28,462","$107,699",,,Ascension Health Illinois,Ascension Health
Insight Hospital & Medical Center Chicago (FKA Mercy Hospital & Medical Center),"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$30,410","$107,628",,,Insight,
Aurora Medical Center - Summit,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$17,943","$107,609",,,Aurora Health Care,Advocate Health
Northwestern Medicine Lake Forest Hospital,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH  (286, 287)","$18,225","$107,548",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$33,772","$107,476",,,Franciscan Alliance Inc (AKA Franciscan Health),
Advocate Illinois Masonic Medical Center,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH  (562, 563)","$21,847","$107,472",,,Advocate Health Care,Advocate Health
Resurrection Medical Center (FKA Ascension Resurrection),"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$27,089","$107,402",,,Prime Healthcare Services,Prime Healthcare Services
Houston Methodist Sugar Land Hospital (FKA Methodist Sugar Land Hospital),PULMONARY EDEMA & RESPIRATORY FAILURE  (189),"$7,634","$107,302",,,Houston Methodist (FKA Methodist Hospital System),
Community Hospital,"COMBINED ANTERIOR/POSTERIOR SPINAL FUSION  (453, 454, 455)","$40,788","$107,249",,,Powers Health (FKA Community Healthcare System),
Northwestern Medicine Lake Forest Hospital,"PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG  (542, 543, 544)","$8,234","$107,082",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Loyola University Medical Center,"REVISION OF HIP OR KNEE REPLACEMENT  (466, 467, 468)","$48,237","$106,764",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE (521, 522)","$33,887","$106,757",,,Sinai Chicago (FKA Sinai Health System),
Humboldt Park Health (FKA Norwegian American Hospital),"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)","$17,868","$106,661",,,,
Advocate Christ Medical Center,"DISORDERS OF PANCREAS EXCEPT MALIGNANCY  (438, 439, 440)","$36,501","$106,616",,,Advocate Health Care,Advocate Health
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM  (094, 095, 096)","$42,674","$106,522",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),"LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E.  (417, 418, 419)","$21,601","$106,463",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Memorial Hermann Memorial City Medical Center,"AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE  (239, 240, 241)","$36,227","$106,456",,,Memorial Hermann Health System,
Advocate Illinois Masonic Medical Center,"OTHER MAJOR CARDIOVASCULAR PROCEDURES (270, 271, 272)","$53,189","$106,443",,,Advocate Health Care,Advocate Health
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS  (391, 392)","$15,322","$106,419",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Elmhurst Hospital,"MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL  (808, 809, 810)","$22,091","$106,299",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),"MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY  (483, 484)","$16,828","$106,286",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
